Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_0603_1608Metric",80.497500,-92.710000,0.000000,top
"D2","LED","LED_0603_1608Metric",80.497500,-97.064285,0.000000,top
"D3","LED","LED_0603_1608Metric",80.497500,-101.418570,0.000000,top
"D4","LED","LED_0603_1608Metric",80.497500,-105.772855,0.000000,top
"D5","LED","LED_0603_1608Metric",80.497500,-110.127140,0.000000,top
"D6","LED","LED_0603_1608Metric",80.497500,-114.481425,0.000000,top
"D7","LED","LED_0603_1608Metric",80.497500,-118.835710,0.000000,top
"D8","LED","LED_0603_1608Metric",80.497500,-123.190000,0.000000,top
"D9","LED","LED_0603_1608Metric",69.062500,-92.710000,0.000000,top
"D10","LED","LED_0603_1608Metric",69.062500,-97.064285,0.000000,top
"D11","LED","LED_0603_1608Metric",69.062500,-101.418570,0.000000,top
"D12","LED","LED_0603_1608Metric",69.062500,-105.772855,0.000000,top
"D13","LED","LED_0603_1608Metric",69.062500,-110.127140,0.000000,top
"D14","LED","LED_0603_1608Metric",69.062500,-114.481425,0.000000,top
"D15","LED","LED_0603_1608Metric",69.062500,-118.835710,0.000000,top
"D16","LED","LED_0603_1608Metric",69.062500,-123.190000,0.000000,top
"D17","LED","LED_0603_1608Metric",98.647500,-92.710000,0.000000,top
"D18","LED","LED_0603_1608Metric",98.647500,-97.064285,0.000000,top
"D19","LED","LED_0603_1608Metric",98.647500,-101.418570,0.000000,top
"D20","LED","LED_0603_1608Metric",98.647500,-105.772855,0.000000,top
"D21","LED","LED_0603_1608Metric",98.647500,-110.127140,0.000000,top
"D22","LED","LED_0603_1608Metric",98.647500,-114.481425,0.000000,top
"D23","LED","LED_0603_1608Metric",98.647500,-118.835710,0.000000,top
"D24","LED","LED_0603_1608Metric",98.647500,-123.190000,0.000000,top
"D25","LED","LED_0603_1608Metric",104.697500,-92.710000,0.000000,top
"D26","LED","LED_0603_1608Metric",104.697500,-97.064285,0.000000,top
"D27","LED","LED_0603_1608Metric",104.697500,-101.418570,0.000000,top
"D28","LED","LED_0603_1608Metric",104.697500,-105.772855,0.000000,top
"D29","LED","LED_0603_1608Metric",104.697500,-110.127140,0.000000,top
"D30","LED","LED_0603_1608Metric",104.697500,-114.481425,0.000000,top
"D31","LED","LED_0603_1608Metric",104.697500,-118.835710,0.000000,top
"D32","LED","LED_0603_1608Metric",104.697500,-123.190000,0.000000,top
"D33","LED","LED_0603_1608Metric",74.447500,-92.710000,0.000000,top
"D34","LED","LED_0603_1608Metric",74.447500,-97.064285,0.000000,top
"D35","LED","LED_0603_1608Metric",74.447500,-101.418570,0.000000,top
"D36","LED","LED_0603_1608Metric",74.447500,-105.772855,0.000000,top
"D37","LED","LED_0603_1608Metric",74.447500,-110.127140,0.000000,top
"D38","LED","LED_0603_1608Metric",74.447500,-114.481425,0.000000,top
"D39","LED","LED_0603_1608Metric",74.447500,-118.835710,0.000000,top
"D40","LED","LED_0603_1608Metric",74.447500,-123.190000,0.000000,top
"D41","LED","LED_0603_1608Metric",110.747500,-92.710000,0.000000,top
"D42","LED","LED_0603_1608Metric",110.747500,-97.064285,0.000000,top
"D43","LED","LED_0603_1608Metric",110.747500,-101.418570,0.000000,top
"D44","LED","LED_0603_1608Metric",110.747500,-105.772855,0.000000,top
"D45","LED","LED_0603_1608Metric",110.747500,-110.127140,0.000000,top
"D46","LED","LED_0603_1608Metric",110.747500,-114.481425,0.000000,top
"D47","LED","LED_0603_1608Metric",110.747500,-118.835710,0.000000,top
"D48","LED","LED_0603_1608Metric",110.747500,-123.190000,0.000000,top
"D49","LED","LED_0603_1608Metric",92.597500,-92.710000,0.000000,top
"D50","LED","LED_0603_1608Metric",92.597500,-97.064285,0.000000,top
"D51","LED","LED_0603_1608Metric",92.597500,-101.418570,0.000000,top
"D52","LED","LED_0603_1608Metric",92.597500,-105.772855,0.000000,top
"D53","LED","LED_0603_1608Metric",92.597500,-110.127140,0.000000,top
"D54","LED","LED_0603_1608Metric",92.597500,-114.481425,0.000000,top
"D55","LED","LED_0603_1608Metric",92.597500,-118.835710,0.000000,top
"D56","LED","LED_0603_1608Metric",92.597500,-123.190000,0.000000,top
"D57","LED","LED_0603_1608Metric",86.547500,-92.710000,0.000000,top
"D58","LED","LED_0603_1608Metric",86.547500,-97.064285,0.000000,top
"D59","LED","LED_0603_1608Metric",86.547500,-101.418570,0.000000,top
"D60","LED","LED_0603_1608Metric",86.547500,-105.772855,0.000000,top
"D61","LED","LED_0603_1608Metric",86.547500,-110.127140,0.000000,top
"D62","LED","LED_0603_1608Metric",86.547500,-114.481425,0.000000,top
"D63","LED","LED_0603_1608Metric",86.547500,-118.835710,0.000000,top
"D64","LED","LED_0603_1608Metric",86.547500,-123.190000,0.000000,top
"J1","TYPE-C-31-M-12","HRO_TYPE-C-31-M-12",147.830000,-81.280000,90.000000,top
"J2","Header","PinHeader_1x03_P2.54mm_Vertical",127.635000,-76.581000,180.000000,top
"Q1","NMOS","SOT-23",132.080000,-70.231000,-90.000000,top
"Q2","NMOS","SOT-23",122.428000,-70.165000,0.000000,top
"Q3","NMOS","SOT-23",132.382500,-75.631000,0.000000,top
"Q4","NMOS","SOT-23",122.379500,-74.930000,0.000000,top
"R1","5k1","R_0402_1005Metric",138.682000,-79.502000,180.000000,top
"R2","5k1","R_0402_1005Metric",138.682000,-82.550000,180.000000,top
"R3","150R","R_0402_1005Metric",98.539600,-72.529800,0.000000,top
"R4","150R","R_0402_1005Metric",98.209400,-66.179800,180.000000,top
"R5","150R","R_0402_1005Metric",100.686000,-69.875600,0.000000,top
"R6","150R","R_0402_1005Metric",98.412600,-68.694400,180.000000,top
"R7","150R","R_0402_1005Metric",100.571600,-67.500600,180.000000,top
"R8","150R","R_0402_1005Metric",100.800200,-71.361400,180.000000,top
"R9","150R","R_0402_1005Metric",82.131000,-66.205200,180.000000,top
"R10","150R","R_0402_1005Metric",81.927800,-67.297400,0.000000,top
"R11","5k1","R_0402_1005Metric",136.271000,-69.342000,0.000000,top
"R12","5k1","R_0402_1005Metric",119.481600,-68.603400,-90.000000,top
"R13","5k1","R_0402_1005Metric",119.608600,-73.482200,-90.000000,top
"R14","5k1","R_0402_1005Metric",136.525000,-74.676000,0.000000,top
"U1","~","SOIC-28W_7.5x17.9mm_P1.27mm",90.587400,-74.384000,180.000000,top
